ID;Provincia;Localidad;Codigo postal;Direccion;Margen;Rotulo;Precio gasolina 95 E5;Precio gasolina 98 E5;Precio gasoleo A
155;ALBACETE;VALDEGANGA;2150;CALLE SANTA CRUZ, 16;D;NO HAY;1.691;-1;1.637
156;ALBACETE;VILLALGORDO DEL JUCAR;2636;CALLE DEL VINO, 10;N;SAN ISIDRO;-1;-1;-1
157;ALBACETE;VILLALGORDO DEL JUCAR;2636;CARRETERA CM-3114 KM. 12,7;I;E.S EL GORRION;1.739;-1;1.619
158;ALBACETE;VILLAMALEA;2270;CALLE VALENCIA, 41;I;NO TIENE;-1;-1;1.576
159;ALBACETE;VILLAMALEA;2270;CARRETERA CENIZATE KM. 1,5;D;CHAMPINTER;1.599;-1;1.579
160;ALBACETE;VILLAMALEA;2270;CARRETERA CM-3201 KM. 22,70;D;REPSOL;1.719;1.829;1.729
161;ALBACETE;VILLAPALACIOS;2350;CR N-322, 258,8;D;REPSOL;1.759;1.949;1.749
162;ALBACETE;VILLARROBLEDO;2600;CARRETERA DE LAS MESAS KM. 005;N;ESTACION DE SERVICIO LOS VINEDOS;1.729;1.839;1.709
163;ALBACETE;VILLARROBLEDO;2600;CALLE ARQUIMEDES, 62;N;COMBUSTIBLES FIEL, S.L.;1.689;-1;1.609
164;ALBACETE;VILLARROBLEDO;2600;CARRETERA OSSA DE MONTIEL KM. 21;I;REPSOL;1.669;1.789;1.679
165;ALBACETE;VILLARROBLEDO;2600;CARRETERA N-310 KM. 120,5;D;CEPSA;1.699;1.831;1.719
166;ALBACETE;VILLARROBLEDO;2600;CARRETERA MUNERA KM. 0,500;I;VINICOLA DE VILLARROBLEDO;1.564;-1;1.552
167;ALBACETE;VILLARROBLEDO;2600;CALLE DOS DE MAYO, 167;I;REPSOL;1.769;-1;1.729
168;ALBACETE;VILLARROBLEDO;2600;CARRETERA NACIONAL 310 KM. 137,7;I;REPSOL;1.669;1.789;1.679
169;ALBACETE;VILLARROBLEDO;2600;AVENIDA REYES CATOLICOS, 150;D;PANALON;-1;-1;1.749
170;ALBACETE;VILLARROBLEDO;2600;AUTOVIA A-43 KM. 129;D;REPSOL;1.749;1.859;1.729
171;ALBACETE;VILLARROBLEDO;2600;CALLE NOBEL, 64;N;COMBUSTIBLES DISPROSIO S.L.;1.669;-1;1.594
172;ALBACETE;VILLARROBLEDO;2600;AVENIDA REYES CATOLICOS, 26;D;CEPSA;1.739;-1;1.765
173;ALBACETE;VILLARROBLEDO;2600;CALLE FERNANDO ZEPPELIN, 13;D;MOLGAS;-1;-1;-1
174;ALBACETE;VILLARROBLEDO;2600;AVENIDA REYES CATOLICOS, 133;D;BP VILLARROBLEDO;1.709;1.851;1.729
175;ALBACETE;VILLARROBLEDO;2600;CALLE GENERAL MARTI, 2;D;PLENOIL;1.619;-1;1.589
176;ALBACETE;VILLARROBLEDO;2600;AUTOVIA A-43 KM. 390;I;CEPSA;1.724;1.856;1.719
177;ALBACETE;VILLARROBLEDO;2600;AVENIDA REYES CATOLICOS [APARCAMIENTO DEL CARREFOUR], S-N;N;CARREFOUR;1.679;1.789;1.689
178;ALBACETE;VILLARROBLEDO;2600;AVENIDA REYES CATOLICOS, S-N;N;AVIA;1.699;1.799;1.709
179;ALBACETE;VILLARROBLEDO;2600;AVENIDA REYES CATOLICOS, 108;N;GALP;1.684;-1;1.704
180;ALBACETE;YESTE;2480;CARRETERA DE HELLIN KM. 42;I;CEPSA;1.739;-1;1.739
